stacja_koncowa,liczba_pociagow
Berlin Hbf,909
Przemyśl Gł.,627
Warszawa Wschodnia,431
Gdynia Gł.,358
Kraków Gł.,304
Praha hl.n.,290
Bohumin,278
Chełm,274
Lublin Gł.,123
Katowice,113
Wrocław Gł.,110
Vršovice,109
Berlin Charlottenburg,91
Kołobrzeg,89
Kyiv - Pas.,88
München Hbf,82
Dnipro Hl.,81
Łeba,71
Leipzig Hbf,50
Szczecin Gł.,50
