stacja_poczatkowa,liczba_pociagow
Warszawa Wschodnia,1216
Kyiv - Pas.,602
Przemyśl Gł.,357
Kraków Gł.,342
Bohumin,316
Wien Hbf,267
Praha hl.n.,204
Gdynia Gł.,175
Mockava,166
Graz Hbf,133
Wien Westbf,127
Budapest - Nyugati,107
Wrocław Gł.,97
Odessa Hl.,83
Berlin Hbf,79
Kharkiv,72
Zaporizhzhia I,66
Rava Ruskaia,63
Dnipro Hl.,63
Kharkiv - Pas.,44
