jednostka,liczba_pociagow
X4EA,785
EU44,687
EP09,491
EU07,434
M62,431
WL10,429
CD_X4EA,319
EU160,254
193,230
HRCS2,215
SU160,176
DB_X4EA,158
BALTICX4EA,132
SU4210,90
EP07,77
ED160,72
EU200,56
ED250,49
ED161,48
SD85,26
